poste,lieu,entreprise,salaire,note,description
Animateur boutique H/F - 6 mois - Ile de Ré,Saint-Martin,Beach Bikes,2 k € (fourni par l’employeur),"4,0","Vous avez le souhait de faire vivre une expérience 5\* à nos clients. Vous savez faire preuve d’esprit d’équipe. Type d'emploi : Temps plein, CDD.&hellip;
Compétences: Vente, Service client, Anglais"
Technicien Chiffrage Expert VO (H/F),Sainte-Geneviève,SUSTAINera Car Reconditioning Paris,2 k € (fourni par l’employeur),Non noté,"Faire un relevé complet et détaillé des dégâts mécanique et carrosserie (y compris habitacle et équipements), prise de photos, respect du lead time ;&hellip;
Compétences: Mécanique automobile, Sens de l'organisation"
Plongeur (H/F),Clermont-Ferrand,CAFFE MAZZO SAS,2 k € (fourni par l’employeur),Non noté,"La plonge est équipée d'une machine à tunnel et à capot. Type d'emploi : Temps plein. Période de travail de 10 heures.&hellip;
Compétences: Préparation culinaires, Restauration"
Coordinateur développement H/F,Montrouge,Croix-Rouge française,Non renseigné,"3,6","Participer à l'identification des projets d'intérêt (suivi et diffusion dans une veille dédiée). S'assurer de la mise à jour des tableaux de bord de suivi, des…&hellip;
Compétences: Esprit d'analyse, Gestion de projet"
Directeur d'hôtel H/F,Tende,BRAGARD S.R.L.,3 k € - 4 k € (fourni par l’employeur),Non noté,"Gestion de la réception, des réservations et de l’accueil clients. *Expérience significative en gestion d’hôtel de 3 ans minimum*.&hellip;
Compétences: Français, Hôtellerie, Service client, Anglais, Expérience en supervision"
Auditeur Délégataires de Gestion F/H,Puteaux,Swiss Life,Non renseigné,"3,8","De plus, vous participez activement à l’actualisation et à l’amélioration continue des procédures d’audit des délégataires (mise à jour des points de contrôles,…&hellip;
Compétences: Audit financier, SAS, Esprit d'analyse"
Responsable business development H/F,Bordeaux,Youdoit.fr,Non renseigné,Non noté,"Développement de l’activité marketplaces*. Bac + 4/5 business ou marketing, organisé, autonome, force de proposition, à l’aise sur le web, forte capacité de…&hellip;
Compétences: Anglais, E-commerce, Développement commercial"
Chargé(e) d'accueil/ Concierge (H/F),Malakoff,ENFIN LUNDI,Non renseigné,"1,0","Accueillir les visiteurs, les utilisateurs et les occupants du site, informer et prendre en charge les besoins et demandes des bénéficiaires/occupants (…&hellip;
Compétences: Microsoft Powerpoint, Hôtellerie, Service client, Anglais, Microsoft Office"
Assistant(e) administratif et d'accueil H/F,Angers,ASPAM 49,2 k € (fourni par l’employeur),Non noté,"Gérer l’accueil physique et téléphonique des personnes protégées, visiteurs, et partenaires ; Dans le cadre d'un renfort estival, l'Association ASPAM 49…&hellip;
Compétences: Service client, Microsoft Office, Expérience administrative, Sens de l'organisation, Réception"
Conseiller commercial à distance : Vente par transferts en appels entrants H/F,Toulouse,HomeFriend,25 k € - 27 k € (fourni par l’employeur),"2,5","Tickets restaurant (9,20€/ticket) 60% pris en charge par l'entreprise. Nos locaux sont situés au 12 rue Louis Courtois de Viçose, Bâtiment 5, 31100 TOULOUSE.&hellip;
Compétences: Français, Vente"
contrat d'alternance_Chargé des politiques de services [RATP/RSF/SEM],Paris,RATP EPIC,Non renseigné,"3,8","Pilotage, en liaison avec les différentes parties prenantes au sein de l'entreprise, des évolutions continues et innovations relatives aux métiers d’agents de…&hellip;
Compétences: Microsoft Powerpoint, Service client, Compétences rédactionnelles, Microsoft Office"
Chargé d'indemnisation AUTO (F/H) - LENS - CDI,Lens,BPCE Assurances IARD,Non renseigné,"4,0","Procéder à l’indemnisation selon le contexte (analyse des contrats et conventions, …). En identifiant des axes d'amélioration et d'optimisation des processus.&hellip;
Compétences: Service client"
MASCOTTE F/H - département 91,Bondoufle,Sarawak France,"12,50 € Par heure (fourni par l’employeur)","4,7",Sarawak est une société de Marketing Opérationnel qui accompagne depuis plus de 30 ans ses clients (grands groupes industriels) dans la mise en place leurs…&hellip;
Opérateur usinage en 2*8 F/H,Romans,Framatome,25 k € - 35 k € (fourni par l’employeur),"4,0",Nous recherchons notre futur(e) Opérateur H/F pour intégrer l'atelier Mécanique Nucléaire. Le site de Romans sur Isère (26100) et un des premiers employeurs…&hellip;
Ambassadeur - Multimédia H/F,Paris,Sarawak France,"13,00 € Par heure (fourni par l’employeur)","4,7","Vous savez orienter le client et être force de proposition. Sarawak est une société de Marketing Opérationnel qui accompagne depuis plus de 30 ans ses clients (…&hellip;
Compétences: Vente"
Opérateur de production R&D F/H,Romans,Framatome,25 k € - 35 k € (fourni par l’employeur),"4,0","Le site de Romans sur Isère (26100) et un des premiers employeurs industriels du bassin Romanais avec plus de 1000 collaborateurs qui s’épanouissent chaque jour…&hellip;
Compétences: Production"
CDI - Chargé d'études emménagement H/F,Cherbourg-Octeville,Naval Group,Non renseigné,"4,0","Naval Group s’engage dans l’évolution de ses collaborateurs, que celle-ci soit dans le domaine technique, le management ou encore la gestion de projet.&hellip;
Compétences: AutoCAD, Revit, Bureautique"
Conducteur.trice d'installations chimiques F/H,Jarrie,Framatome,25 k € - 30 k € (fourni par l’employeur),"4,0","Contrôler la marche de l'installation sur les écrans de supervision et vérifier les paramètres. Assurer la conduite technique locale des installations.&hellip;
Compétences: Service client, Securité"
Vendeur épicerie (H/F),Saint-Julien,BioFrais,Non renseigné,"3,3","Les bons produits, les produits de l’épicerie et le non-alimentaire, les produits bio,. Le conseil auprès des clients.&hellip;"
Commercial/ Vendeur 18/25 ans en alternance H/F,Lyon,PNBS Campus Lyon,Non renseigné,Non noté,"Travailler en lien étroit avec l’équipe recrutement et pédagogique pour optimiser le parcours des candidats. > Une formation diplômante niveau Bac+2 ou plus 100…&hellip;
Compétences: Service client, Administration des ventes, Microsoft Office, Expérience administrative"
Chargé de reporting social h/f,Olivet,AXEREAL,Non renseigné,"3,4","De formation BAC+3 type Licence / 3ème année de DCG ou bien Bac +4/5 de type Master en *Contrôle de Gestion, Audit, RH avec une spécialisation Rh/Droit social*.&hellip;
Compétences: Power BI, Analyse de données, Esprit d'analyse, SIRH, Bureautique"
Tractoriste H/F,Blangy-Tronville,LES ENTREPRENEURS ASSOCIES,"11,88 € Par heure (fourni par l’employeur)",Non noté,"Rigueur, autonomie, sens de l'observation et capable de travailler en équipe. Expérience significative en conduite de tracteur agricole (1 an minimum).&hellip;
Compétences: Équipements agricoles"
"Septiembre Cuidado de niño - 546,33 € / 4 semanas bruto – Suresnes – Contrato a tiempo parcial",Suresnes,Périscolarité SAS,"14,38 € Par heure (fourni par l’employeur)","4,5","14,38 € bruto / hora (incluido el 10 % de vacaciones pagadas). Buscamos a una persona amable y responsable para cuidar a dos niños de 2 y 6 años en Suresnes,…&hellip;
Compétences: Français, Garde d'enfants, Anglais, Expérience dans la petite enfance"
Business developer indépendant H/F,Massy,Predictis,Non renseigné,"4,4","*Maîtrise du français *est indispensable. Il y a plusieurs types de commissionnement en fonction des produits proposés au client.&hellip;
Compétences: Français, Développement commercial, Négociation"
Poissonier H/F,Culoz,INTERMARCHE,Non renseigné,"3,4","Collaborer avec l'équipe pour garantir un service efficace en restauration. Conseiller et servir les clients avec professionnalisme.&hellip;
Compétences: Manipulation des aliments, Préparation culinaires, Securité, Préparation des aliments, Sécurité alimentaire"
EDUCATEUR-TRICE SCOLAIRE,France,AGCE DE COOPERATION ET DEVELOPPEMENT DURABLE,"11,88 € Par heure (fourni par l’employeur)",Non noté,"Vous aurez à réaliser des enquêtes pour connaitre les publics à suivre; d'évaluer les travaux menées pour vérifier l'impact sur leur quotidien à l'école.&hellip;
Compétences: 5G, Éducation spécialisée, Expérience administrative, Sens de l'organisation"
TECHNICIEN FOUDRE,Beauvais,PLUS HO,2 k € (fourni par l’employeur),Non noté,"Pose d'équipements en hauteur (toiture plate accès par échelle à crynoline). Le poste est à pourvoir dans le cadre d'un CDD puis d’un CDI (poste évolutif).&hellip;
Compétences: Français, Électricité"
Assistant chargé de communication H/F,Nevers,ECEMA,Non renseigné,Non noté,"Participer à l'élaboration et au suivi du plan stratégique de communication. Gérer les espaces et l’organisation des réunions des externes.&hellip;
Compétences: Microsoft Powerpoint, Français, Compétences rédactionnelles, Sens de l'organisation, Marketing"
Vendeur Conseil pièces détachées H/F,Saint-Pierre-en-Faucigny,Garage Balleydier 4x4,2 k € - 3 k € (fourni par l’employeur),"3,0","Un environnement de travail dynamique, avec une équipe à l’écoute et bienveillante,. Conseiller et vendre les pièces détachées auprès d’une clientèle de…&hellip;
Compétences: Vente, Service client, Sens de l'organisation"
Technicien Électrique Énergie,Kaysersberg,DS SMITH PAPER,34 k € - 42 k € (fourni par l’employeur),"3,4","Vous avez un profil technique et vous êtes issu(e) d’une formation spécialisée dans le domaine de l’énergie, idéalement d’une Licence Électronique,…&hellip;
Compétences: Chaudière, Production"
Technicien réparateur electromenager,Villebon,BUSINESS COMPANY SPA FRANCE,24 k € - 27 k € (fourni par l’employeur),Non noté,"Capacité d'adaptation à l'organisation et à la résolution des tâches. Nous recherchons un candidat pour le département du service technique.&hellip;
Compétences: Français, Service client, Anglais, Microsoft Office, Sens de l'organisation"
Traiteur/ Préparateur Sandwichs et Pizzas H/F,Loudéac,BOULANGERIE LEGALLAIS,2 k € (fourni par l’employeur),Non noté,"Préparation des Sandwichs et autres plats salés pour la boulangerie; Type d'emploi : Temps plein, CDD.&hellip;
Compétences: Service, Préparation culinaires, Préparation des aliments, Sécurité alimentaire, Restauration"
Femme/valet de chambre temps partiel 32h/ semaine H/F,Husseren,HOTEL SPA HUSSEREN COLLECTIONS,2 k € (fourni par l’employeur),Non noté,"Expérience en tant que *valet / femme de Chambre* appréciée, mais les candidats avec une forte volonté d'apprendre sont également bienvenus.&hellip;
Compétences: Hôtellerie, Aide à la personne, Service en restauration, Sens de l'organisation, Réception"
TECHNICIEN SYSTEMES DU NUMERIQUE H/F,Nancy,Armée de l'Air et de l'Espace,2 k € - 3 k € (fourni par l’employeur),"4,1",La formation militaire se déroule sur quinze semaines à l’Escadron de Formation Militaire (EFM) de l’École de Formation des Sous-Officiers de l’Armée de l’air (…&hellip;
Student Job Childcare (M/F),Paris,Momji,Non renseigné,"3,9","No minimum level of French required,. Improve your skills with our approach developed by educational experts in language acquisition.&hellip;
Compétences: Anglais"
PETRISSEUR - COND. DE FOUR H/F,Anneyron,Biscuits Bouvard,Non renseigné,"3,4",Des opportunités de carrières et d’évolutions professionnelles attendent les candidats passionnés qui ont envie de s’investir dans un projet de croissance forte…&hellip;
Lead Expert Quality Assurance - Food Manufacturing,Lille,Antal International Network,65 k € - 72 k € (fourni par l’employeur),"3,6","As *Lead Expert Quality Assurance* within the Quality department (covering both QA and QC), you will ensure the release of safe and high-quality products,…&hellip;
Compétences: Français, Anglais, Assurance qualité, Production"
Professeur de génie électrique option électronique en LP,Rillieux-la-Pape,Centre scolaire Saint Charles,24 k € (fourni par l’employeur),Non noté,"Avoir de solides connaissances dans l'installation, la mise en service, la maintenance de systèmes appartenant à l'un des secteurs d'activités suivants :…&hellip;
Compétences: Production, Enseignement"
Vendeur Caissier Polyvalent H/F,Paris,LEGO,Non renseigné,"4,4","Les candidats qui se voient proposer des postes à fort engagement auprès des enfants sont tenus de participer à une vérification des antécédents en matière de…&hellip;
Compétences: Anglais, Sens de l'organisation, Services aux visiteurs"
Vendeur 18/25 ans en alternance H/F,Roubaix,PNBS Campus Lille,Non renseigné,Non noté,"Mais pas seulement le prêt a porter, les boulangeries, les épiceries fines et bien d'autres secteurs vous ouvrent les portes. Assurer le suivi des ventes.&hellip;
Compétences: Service client, Encaissement, Vente au détail"
Stage Customer Success (Relation client) et Support (H/F) 4-6 mois,Bezannes,MONSTOCK,730 € (fourni par l’employeur),"2,6","Bien communiquer à l’oral et l’écrit en toutes circonstances,. Possibilité d'embauche à l'issue du stage,. Prendre en charge l'évolution de nos pratiques et du…&hellip;
Compétences: Service client, Anglais, Gestion de la relation client, Support clients, Chinois"
Vendanges BIO à CHASSAGNE-MONTRACHET (Bourgogne),Chassagne-Montrachet,Domaine MOREY-COFFINET,"13,00 € Par heure (fourni par l’employeur)",Non noté,"Vendanges dans un domaine familial certifié BIO à Chassagne-Montrachet (Bourgogne). Débutant(e)s accepté(e)s. Prime transport / logement possible / Repas…&hellip;
Compétences: Développement web, Expérience administrative, Responsable de bureau, Équipements agricoles, Marketing"
After school Nanny in english (M/F),Paris,Momji,Non renseigné,"3,9","Momji is looking for an english nanny in PARIS 8E ARRONDISSEMENT(08) for 5 hours work a week to look after 1 child(ren). No minimum level of French required,.&hellip;
Compétences: Anglais"
Electricien H/F,Pierrelatte,Adecco,"11,88 € Par heure (fourni par l’employeur)","3,6","Adecco s'engage à promouvoir la diversité et l'égalité des chances. Notre client est une entreprise renommée dans le secteur du nucléaire offrant un…&hellip;
Compétences: Sens de l'organisation"
Serveur/Serveuse polyvalent(e),Grospierres,Groupe Restoleil,2 k € (fourni par l’employeur),"4,5","Accueillir et installer les clients avec le sourire. Salaire de 1900 à 2000e net mensuel selon expérience. Servir les plats et boissons de manière efficace et…&hellip;
Compétences: Service, Service client"
Sales Assistant Full time,Paris,DOPPELGANGER,28 k € - 30 k € (fourni par l’employeur),Non noté,Es-tu une personne énergique et aimes-tu travailler en équipe ? Si tu es passionné(e) de mode et désires investir en toi-même dans un parcours de formation…&hellip;
Offre d’alternance – Développement Commercial,Bourges,ECEMA Bourges,Non renseigné,Non noté,"Contribution au développement commercial de l’agence. Échange téléphonique et entretien avec un conseiller. Maîtrise d’Excel et des outils bureautiques.&hellip;
Compétences: Service client, Microsoft Office, Esprit d'analyse, Sens de l'organisation, Bureautique"
Lasériste (H/F),Paris,aesthé,2 k € - 4 k € (fourni par l’employeur),"2,0","Nous vous garantissons un processus de recrutement efficace afin de vous accueillir chez Aesthé au plus vite. Formation et encadrement d'équipe\*.&hellip;
Compétences: Service client, Services aux visiteurs, Production, Câblage réseau"
"Septiembre Cuidado de niño - 718,85 € / 4 semanas bruto – Clichy – Contrato a tiempo parcial",Clichy,Périscolarité SAS,"14,38 € Par heure (fourni par l’employeur)","4,5","Volver a casa (5–10 minutos a pie). 50 horas cada 4 semanas – Contrato indefinido a tiempo parcial. 14,38 € bruto / hora (incluyendo el 10 % de vacaciones…&hellip;
Compétences: Français, Garde d'enfants, Anglais, Expérience dans la petite enfance"
Dessinateur industriel en bureau d'études,Narrosse,TSMP,25 k € - 30 k € (fourni par l’employeur),Non noté,"Contrôler la faisabilité des pièces sur les équipements de l'entreprise et définir leur assemblage. Si vous êtes passionné(e) par la conception technique et que…&hellip;
Compétences: AutoCAD, Schémas, Conception Mécanique, CAD, SolidWorks"
Shopper - Fretin-Lille,Fretin,Picnic,"12,05 € Par heure (fourni par l’employeur)","3,3",Travailler dans différentes zones de l’entrepôt : ambiante ou réfrigérée (nous te fournissons l’équipement nécessaire pour le froid). Tu as au moins 18 ans.&hellip;
Alternance Journaliste web sport,Télétravail,Tribune Nantaise,Non renseigné,Non noté,"Une bonne connaissance de Canva ou des réseaux sociaux sont un vrai +. Nous avons des besoins souvent le weekend notamment pour les matches.&hellip;
Compétences: WordPress, Microsoft Office, Sens de l'organisation, Marketing"
Opérateur de triage et traitement de semences,Bourguébus,SARL CMG,3 k € (fourni par l’employeur),Non noté,"Collaborer avec les autres membres de l'équipe pour atteindre les objectifs de production. Maintenir un environnement de travail propre et organisé.&hellip;
Compétences: Chariot élévateur, Assemblage, Production"
Conseiller(ère) patrimoniale H/F (MIA),Rouen,Capfinances,40 k € - 80 k € (fourni par l’employeur),"3,7","Nous vous offrons une formation délivrant la *capacité professionnelle ORIAS II* pour devenir conseiller en gestion de patrimoine indépendant.&hellip;
Compétences: Français, Gestion de patrimoine, Développement commercial, Gestion de portefeuille"
Business Developer Entreprise (F/H),Antibes,Oktogone Group,Non renseigné,"3,5","Accès à nos formations pour monter en compétence. Un CE en ligne pour profiter de nombreux bons plans. Fixe + variable selon profil: package moyen (la première…&hellip;
Compétences: Développement commercial"
Distributeur de prospectus - Manoeuvre,Saint-Vincent,Festi France,Non renseigné,Non noté,"Emploi saison d'été idéal pour étudiants mobiles, curieux, et ""aventuriers"" ; ou saisonniers habitués aux travaux physiques (type vendange par exemple).&hellip;
Compétences: Vente, Service client, Marketing"
Serveur H/F,Pleurtuit,Jersey Lillie,2 k € (fourni par l’employeur),Non noté,"Bon vivant, vous serez force de proposition pour organiser des événements festifs. Service le midi et le soir en 7/7 (carte de restaurant, durée 2 mois max, +…&hellip;
Compétences: Service, Hôtellerie, Service client, Anglais, Service en restauration"
Equipier polyvalent,Chartres,BURGER KING,Non renseigné,"3,2","Etre Equipier , c’est délivrer le meilleur service possible à nos clients via un accueil irréprochable, la fabrication de nos produits, la rapidité de la vente…&hellip;"
OPÉRATEUR RÉSEAU H/F,Lille,Armée de l'Air et de l'Espace,2 k € (fourni par l’employeur),"4,1","45 jours de permission par an,75% de réduction sur les tarifs SNCF pour vous, et jusqu'à 50% pour votre conjoint et vos enfants,Une solde égale que vous soyez…&hellip;"
Commercial (H/F),Haute-Goulaine,LABROSSE E2M DISTRIBUTION,28 k € - 40 k € (fourni par l’employeur),"5,0","Être à l’écoute des clients/prospects pour satisfaire au maximum les besoins exprimés par l’ensemble des canaux de communication existants ;&hellip;
Compétences: Vente, Service client, Vente BtoB, Services aux visiteurs, Gestion de comptes clients"
Vendangeurs H/F,Taradeau,Domaines Ott,"12,11 € Par heure (fourni par l’employeur)","3,7",Vous êtes motivé(e) pour participer à l’élaboration d’un produit de qualité et appréciez le travail physique en extérieur ? Nous vous proposons de venir…&hellip;
Responsable d'Equipe Centre de Services H/F,Le Mans,MGEN,30 k € - 42 k € (fourni par l’employeur),"3,4","Motiver et fédérer l'équipe autour des objectifs et des valeurs MGEN,. Votre connaissance des techniques de coaching afin de permettre le développement et…&hellip;
Compétences: Esprit d'analyse"
Technicien de maintenance - F/H,Guyancourt,RTE,Non renseigné,"4,0","Vous êtes titulaire d'un diplôme de niveau bac + 2 dans un domaine technique et vous souhaitez vous reconvertir/débuter dans le secteur de la maintenance des…&hellip;
Compétences: Français"
Apprenti(e) acheteur(se) industriel en alternance,Bourges,ECEMA Bourges,Non renseigné,Non noté,"L'ECEMA Bourges, école supérieure de management en alternance recherche pour son entreprise partenaire, *un(e) apprenti(e) acheteur(se) achats industriels en…&hellip;
Compétences: Sourcing, Expérience administrative"
saisonnier agricole H/F,Mainvilliers,GE Sans Pierre,"11,88 € Par heure (fourni par l’employeur)",Non noté,"Vous effectuez du tri de pommes de terre sur machine en station debout. Selon les chantiers, nous travaillons en équipe (matin/après-midi) ou en journée.&hellip;"
Assistant(e) polyvalente (CDI) H/F,Longjumeau,Dépannage 3J,2 k € (fourni par l’employeur),"1,0","Si vous avez de l'expérience en phoning, en plateau d'assistance ou service après-vente c'est un plus!&hellip;"
Designer,Saint-Herblain,Cameleon Group,29 k € - 32 k € (fourni par l’employeur),"4,5","Travailler en collaboration avec l’équipe créative design ainsi que les chefs de projets conseil à la construction des propositions créatives.&hellip;
Compétences: Adobe Photoshop, Merchandising, Adobe Illustrator, Adobe InDesign, Rhinoceros 3D"
Opérateur de production H/F,Strasbourg,EURO T.V.S,Non renseigné,"3,5","Port de charges : de 5 à 10 kg. Au sein du service production d'une société de traitement de documents, vous serez chargé de la gestion des documents.&hellip;
Compétences: Bureautique"
Barista H/F,Paris,Saint Pearl / Cuppa Gallery,2 k € (fourni par l’employeur),Non noté,"Préparer et servir une variété de boissons chaudes et froides selon les normes de l'établissement. Nous recherchons un(e) Barista expérimenté(e) pour rejoindre…&hellip;
Compétences: Français, Service, Service client, Expérience de barista, Anglais"
IMA GIE- Auditeur interne risques IT H/F,Niort,Groupe IMA,Non renseigné,"4,0","O de contribuer à l’ensemble des étapes d’une mission d’audit : - Conduire des entretiens avec les audités de tous niveaux, recueillir des informations,…&hellip;
Compétences: Audit financier, Esprit d'analyse"
Planificateur.trice de la demande,Courbevoie,ENGIE,Non renseigné,"3,9","Effectuer une veille sur l’approvisionnement en matières indispensables aux activités ; Dans le cadre de la transition énergétique, nous accompagnons chaque…&hellip;
Compétences: Français, Power BI, Oracle, Approvisionnement, Compétences rédactionnelles"
Opérateur(trice) en production F/H,Senonches,Eurofeu,Non renseigné,"2,7","Une personnalité pétillante et engagée afin d'occuper le poste ""d'Opérateur de production"", au sein du site de fabrication.&hellip;"
Vendangeur H/F,Saint-Sernin,DOMAINE ANDRE DELORME,"11,88 € - 11,90 € Par heure (fourni par l’employeur)","4,5",Café d'accueil et verre de l'amitié offerts.*. Démarrage prévu en début septembre 2025. Pour une durée de 15 jours environ.*.&hellip;
Certificateur mécanique H/F,Montierchaume,INGELIANCE,Non renseigné,"3,3","Depuis plus de 25 ans, nous accompagnons nos clients dans l’étude et la réalisation de projets à forte technicité au travers de bureaux d’études (interne et sur…&hellip;
Compétences: Anglais, Microsoft Office, SolidWorks, Adobe Acrobat"
LINGUISTE H/F,Dijon,Armée de l'Air et de l'Espace,2 k € - 3 k € (fourni par l’employeur),"4,1","Vous aurez deux formations, une première de 15 semaines à l'EFSOAA, l'Ecole de Formation des Sous-Officiers de l'Armée de l'Air et de l'Espace à Rochefort,…&hellip;
Compétences: Anglais, Esprit d'analyse, Russe, Farsi, Chinois"
Business developer indépendant H/F,Massy,Predictis,Non renseigné,"4,4","*Maîtrise du français *est indispensable. Il y a plusieurs types de commissionnement en fonction des produits proposés au client.&hellip;
Compétences: Français, Développement commercial, Négociation"
TECHNICIEN RENSEIGNEMENT IMAGES H/F,Dijon,Armée de l'Air et de l'Espace,2 k € - 3 k € (fourni par l’employeur),"4,1","45 jours de permission par an,75% de réduction sur les tarifs SNCF pour vous, et jusqu'à 50% pour votre conjoint et vos enfants,Une solde égale que vous soyez…&hellip;"
Assistant Call Center Technique CDD H/F,Chambéry,CAFES FOLLIET,24 k € - 27 k € (fourni par l’employeur),"2,6","Planification et suivi de l’activité et des interventions techniques des techniciens itinérants (préventif et curatif sur machines à cafés, chocolatières,…&hellip;
Compétences: Service client, Centre d'appels, Administration des ventes, Microsoft Office, Expérience administrative"
"Septiembre Cuidado de niños – 493,81 € / 4 semanas bruto – Suresnes – Contrato a tiempo parcial",Suresnes,Périscolarité SAS,"13,72 € Par heure (fourni par l’employeur)","4,5","13,72 € brutos/hora (incluido el 10 % de vacaciones pagadas). Recoger al niño en la escuela (33 Bd Lannes, 75116 París). Contrato indefinido a tiempo parcial.&hellip;
Compétences: Français, Garde d'enfants, Anglais, Expérience dans la petite enfance"
Formateur indépendant GRCF - BTS gestion de la PME H/F,Toulon,Optima formation Toulon,"30,00 € - 38,00 € Par heure (fourni par l’employeur)",Non noté,"Dispenser des enseignements sur l'accueil, l'information et les conseils à la clientèle. À l’aise en face-à-face pédagogique et dans l’accompagnement…&hellip;
Compétences: Microsoft Excel, Service client, Technologies d'apprentissage, Logiciel de comptabilité, Administration des ventes"
Auditeur H/F - METZ (57),Metz,Caisse d'Epargne Grand Est Europe,38 k € - 43 k € (fourni par l’employeur),"4,0","Vos recommandations opérationnelles contribueront ainsi à l'amélioration de la gestion du risque de l'entreprise et de la qualité de service, en cohérence avec…&hellip;
Compétences: Oracle, Anglais, SQL, Gestion des risques, PL/SQL"
Stage – Assistant·e Opérations Client – Luxe & E‑Commerce,Paris,Belvans,Non renseigné,Non noté,"Contribuer à l’amélioration continue de nos outils internes liés au support et à la satisfaction client. Nous recherchons un(e) *Stagiaire Relation Client &…&hellip;
Compétences: Français, Vente, Service client, Anglais, Esprit d'analyse"
APPRENTISSAGE - CHARGE D'ACCUEIL H/F,Saint-Denis,Orange Store,Non renseigné,"3,4",Vous prendrez une part active au développement de l’entreprise … nous sommes déjà 3000 salariés à faire vivre une expérience incomparable à nos clients !&hellip;
CONDUCTEUR DE MACHINES H/F,Chemillé,Biscuits Bouvard,Non renseigné,"3,4","Conduire des machines sur une ligne de production (sandwichage biscuits ou conditionnement). Effectuer des réglages sur les différentes machines en fonction des…&hellip;
Compétences: Français"
Full-Time Work and Study as an Apprentice in an Anglophone Nursery or Preschool,Paris,The Paris Institute of Childcare Training + Partner Schools and Crèches,Non renseigné,Non noté,"Four days a week, you will work as an English-language childcare assistant in a nursery or pre-school. One day a week you will study at our training centre.&hellip;
Compétences: Français, Anglais"
EDUCATEURS SPECIALISES OU ASSISTANTS DE SERVICE SOCIAL OU EDUCATEURS JEUNES ENFANTS H/F,Nanterre,Fondation Olga Spitzer - SSE 92,Non renseigné,"3,2","En estimer l'ampleur, leurs incidences et en rechercher l'origine ; Identifier avec l'enfant et la famille les dysfonctionnements, les difficultés, les…&hellip;
Compétences: Expérience administrative, Sens de l'organisation"
Alternant agent conseil vigne h/f,Noyers,AXEREAL,Non renseigné,"3,4","Participer à l'organisation et l'animation du magasin (marchandising). Accueillir, informer et conseiller les clients au magasin ainsi qu'au téléphone.&hellip;
Compétences: Vente, Bureautique"
Aide ménagère,Poitiers,CENTRE SERVICES Poitiers,"11,88 € - 12,88 € Par heure (fourni par l’employeur)",Non noté,"CENTRE SERVICES Poitiers recrute un(e) assistant(e) ménager(e) à temps partiel en CDI. Les missions confiées sont planifiées à proximité de votre lieu…&hellip;
Compétences: Sens de l'organisation"
Réceptionniste Boutique Hôtel,Lyon,Republik Hotel,2 k € (fourni par l’employeur),Non noté,"Vous êtes une personne autonome, organisée et à l’aise avec les procédures. Vous aimez la polyvalence et savez basculer entre les taches administratives,…&hellip;
Compétences: Hôtellerie, Service client, Anglais, Expérience administrative, Réception"
Attaché Commercial (H/F),Paris,APG France,29 k € - 32 k € (fourni par l’employeur),Non noté,"Expérience dans le tourisme ou l’aérien (1-2 ans min.). Développement et fidélisation d’un portefeuille d’agences de voyages et de sociétés.&hellip;
Compétences: Français, Vente, Anglais, Gestion de la relation client, Prospection"
Plombiè(re) chauffagiste H/F (en alternance),Fougères,Ecole Gustave,Non renseigné,"4,0","Conseils auprès des clients sur l’entretien et l’utilisation des équipements. Sens de l’écoute et de la communication. En savoir plus sur l'Ecole Gustave.&hellip;
Compétences: Sens de l'organisation, Expérience de bricoleur"
Chargé de clientèle H/F en alternance,Amiens,INTELCIA,2 k € (fourni par l’employeur),"3,1","Intelcia Amiens lance sa campagne d'alternance dans le secteur de la relation client en réception d'appels pour débuter *le 21/07/2025* sur nos activités dans…&hellip;
Compétences: Service client"
Alternance - Chef(fe) de Projet Digital (H/F),Strasbourg,Digital Collège,Non renseigné,"4,7","Le chef de projet digital aura alors pour objectif de mener à termes plusieurs projets de l’idéation jusqu’à l’aboutissement et le suivi de ces derniers.&hellip;
Compétences: Bases de données, Esprit d'analyse, Gestion de projet, Sens de l'organisation, Mise en oeuvre de projets"
Baby-sitter (H/F) en sortie d'école et le mercredi,Saint-Leu,FAMILY SPHERE - Agence de Senlis (60),"11,91 € - 12,36 € Par heure (fourni par l’employeur)","3,7","Vous avez au minimum 6 mois d' *expérience en garde d'enfants* auprès de particuliers (babysitting, mamie nounou, garde régulière en sortie d’école, …) ou en…&hellip;
Compétences: Garde d'enfants"
CHARGE D’ETUDES ACTUARIELLES EXPERIMENTE – CDI – F/H - Paris,Paris,La Mutuelle Générale,45 k € - 50 k € (fourni par l’employeur),"3,5","Contribuer à la modélisation des résultats futurs pour l’évaluation du besoin de marge de solvabilité de l’entité Solo et des éléments contributifs de remontés…&hellip;
Compétences: SAS"
TECHNICIEN DE MAINTENANCE ARMEMENT H/F,Dijon,Armée de l'Air et de l'Espace,2 k € - 3 k € (fourni par l’employeur),"4,1","Vous aurez deux formations, une première de 15 semaines à l'EFSOAA, l'Ecole de Formation des Sous-Officiers de l'Armée de l'Air et de l'Espace à Rochefort,…&hellip;"
Vendeur H/F,Paris,Seven For All Mankind sagl,Non renseigné,Non noté,"Making sure the store looks in line with the brand’s visual merchandising guidelines. Excellent written and verbal communication in French and English.&hellip;
Compétences: Français, Anglais, Microsoft Office, Vente au détail"
